empty_lines,non_empty_lines,average_line_length,line_length_deviation,words,unique_words,chars,tabulators,spaces,tab_indents,space_indents,prefers_tabs_over_spaces,whitespace_to_character_ratio,comments,comment_readability,one_line_to_all_comments,multi_line_to_all_comments,inline_to_all_comments,unindented_comments_to_all,preprocessor_directives,define_name_readability,using_stl_libraries,all_keywords,if_keywords,else_keywords,for_keywords,while_keywords,switch_keywords,do_keywords,variable_name_readability,custom_types,custom_type_name_readability,functions,function_name_readability,function_average_length,function_length_deviation,function_block_braces,nesting_depth,average_parameter_count,parameter_count_deviation,commands,average_commands_per_line,ternary_operations,negation_operator,uses_united_declarations,uses_range_based_for,MAXDepth,<<<NULL>>>,AbiTagAttr,AccessSpecDecl,ArraySubscriptExpr,BinaryOperator,CStyleCastExpr,CXXBoolLiteralExpr,CXXConstructExpr,CXXConstructorDecl,CXXConversionDecl,CXXCtorInitializer,CXXDependentScopeMemberExpr,CXXDestructorDecl,CXXFunctionalCastExpr,CXXMemberCallExpr,CXXMethodDecl,CXXOperatorCallExpr,CXXRecordDecl,CXXStaticCastExpr,CXXTemporaryObjectExpr,CXXThisExpr,CXXUnresolvedConstructExpr,CallExpr,ClassTemplateSpecialization,CompoundAssignOperator,CompoundStmt,ConditionalOperator,ConstantExpr,CopyAssignment,CopyConstructor,DeclRefExpr,DeclStmt,DefaultConstructor,DefinitionData,DependentNameType,Destructor,EnumConstantDecl,ExprWithCleanups,FieldDecl,ForStmt,FormatAttr,FriendDecl,FunctionDecl,FunctionTemplateDecl,ImplicitCastExpr,IntegerLiteral,MaterializeTemporaryExpr,MemberExpr,MoveAssignment,MoveConstructor,NoThrowAttr,NullStmt,public,ParenExpr,ParenListExpr,ParmVarDecl,PureAttr,ReturnStmt,StringLiteral,TemplateArgument,TemplateSpecializationType,TemplateTypeParmDecl,TypedefDecl,UnaryOperator,UnresolvedLookupExpr,UsingDecl,UsingShadowDecl,WhileStmt,creation_order,author
0,1,14.75531915,18.25406086,319,57,1387,0,833,0,0.973333333,0,0.600576784,3,0.769230769,1,0,0,0,1,0.836363636,1,27,9,0,16,1,0,1,0.720797721,1,0.816326531,2,0.5,15.5,1.5,2,4,2,0,73,0.973333333,1,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,.dd
0,1,16.66666667,17.61458333,107,35,550,0,235,0,0.962962963,0,0.427272727,1,0.75,1,0,0,0,1,0.836363636,0,5,2,0,3,0,0,0,0.720797721,1,0.816326531,0,0,0,0,3,4,0,0,25,0.925925926,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,.dd
0,1,13.43902439,15.8902439,107,39,551,0,357,0,0.914285714,0,0.647912886,0,0,0,0,0,0,1,0.836363636,0,13,4,2,7,0,0,0,0.720797721,1,0.816326531,0,0,0,0,3,4,0,0,34,0.971428571,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,.dd
0,1,13.4375,16.19281915,159,41,645,0,300,0,0.921052632,0,0.465116279,0,0,0,0,0,0,1,0.836363636,0,9,4,1,4,0,0,0,0.720797721,1,0.816326531,2,0.5,12.5,3.5,2,4,4,1,27,0.710526316,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,.dd
0,1,13.7593985,15.91074277,447,70,1830,0,867,0,0.971698113,0,0.473770492,2,0.666666667,1,0,0,0,1,0.836363636,1,37,13,3,18,2,0,1,0.720797721,1,0.816326531,5,0.2,14.4,7.68,2,4,1.6,0.88,101,0.952830189,0,4,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,.dd
0,1,10.90666667,14.48126126,196,52,818,0,667,0,0.952380952,0,0.815403423,0,0,0,0,0,0,1,0.836363636,0,14,5,2,7,0,0,0,0.720797721,1,0.816326531,2,0.5,6,5,3,4,2,0,51,0.80952381,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,.dd
0,1,15.70769231,20.73581731,246,45,1021,0,704,0,1.039215686,0,0.689520078,0,0,0,0,0,0,1,0.836363636,0,17,3,0,14,0,0,0,0.720797721,1,0.816326531,0,0,0,0,3,7,0,0,51,1,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,.dd
0,1,12.98947368,14.85218365,269,62,1234,0,494,0,0.831168831,0,0.400324149,1,0.75,1,0,0,0,1,0.836363636,0,18,6,2,10,0,0,0,0.720797721,1,0.816326531,4,1,7.25,1.875,2,4,0.75,0.75,72,0.935064935,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,.dd
0,1,14.688,17.0936129,465,53,1836,0,1119,0,0.907407407,0,0.609477124,5,0.857142857,1,0,0,0,1,0.836363636,0,35,10,0,25,0,0,0,0.720797721,1,0.816326531,6,0.333333333,10.83333333,5.166666667,2,4,2,0,111,1.027777778,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,.dd
0,1,9.9,7.402040816,121,38,495,0,140,0,0.414634146,0,0.282828283,0,0,0,0,0,0,1,0.836363636,0,2,0,0,2,0,0,0,0.720797721,1,0.816326531,0,0,0,0,3,3,0,0,40,0.975609756,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,.jaz
