empty_lines,non_empty_lines,average_line_length,line_length_deviation,words,unique_words,chars,tabulators,spaces,tab_indents,space_indents,prefers_tabs_over_spaces,whitespace_to_character_ratio,comments,comment_readability,one_line_to_all_comments,multi_line_to_all_comments,inline_to_all_comments,unindented_comments_to_all,preprocessor_directives,define_name_readability,using_stl_libraries,all_keywords,if_keywords,else_keywords,for_keywords,while_keywords,switch_keywords,do_keywords,variable_name_readability,custom_types,custom_type_name_readability,functions,function_name_readability,function_average_length,function_length_deviation,function_block_braces,nesting_depth,average_parameter_count,parameter_count_deviation,commands,average_commands_per_line,ternary_operations,negation_operator,uses_united_declarations,uses_range_based_for,creation_order,author
0,1,13.60465116,13.95403557,210,43,1170,0,460,0,0.84,0,0.393162393,0,0,0,0,0,0,1,0,1,12,5,0,6,1,0,0,0.838709677,1,1,9,0.333333333,8,2.222222222,1,3,1.444444444,0.49382716,43,0.573333333,0,0,0,0,1,user1
0,1,9.954545455,11.05844156,39,24,219,0,72,0,0.875,0,0.328767123,6,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0.838709677,1,1,0,0,0,0,3,2,0,0,10,0.625,0,0,0,0,1,user1
0,1,15.20512821,15.3731444,112,26,593,0,128,0,0.677419355,0,0.215851602,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0.838709677,1,1,3,0,3,0,1,3,0,0,12,0.387096774,0,0,0,0,10,user1
0,1,20.62790698,21.10741971,142,41,887,0,149,0,0.617647059,0,0.167981962,0,0,0,0,0,0,1,0,1,3,1,0,2,0,0,0,0.848484848,1,1,6,0.166666667,4,1.333333333,1,4,0.833333333,0.555555556,11,0.323529412,0,0,0,0,10,user1
0,1,16.51351351,14.38513514,98,38,611,0,136,0,0.931034483,0,0.222585925,15,1,0,1,0,0,1,0,1,2,0,0,2,0,0,0,0.848484848,1,1,0,0,0,0,3,3,0,0,24,0.827586207,0,0,0,0,10,user1
0,1,14.4,14.74693878,125,41,720,0,260,0,0.833333333,0,0.361111111,25,0.875,0,1,0,0,1,0,1,3,1,0,1,1,0,0,0.848484848,1,1,0,0,0,0,3,3,0,0,20,0.476190476,0,0,0,0,11,user1
0,1,15.91176471,13.17557932,86,28,541,0,126,0,0.857142857,0,0.232902033,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0.852941176,1,1,0,0,0,0,3,2,0,0,17,0.607142857,0,0,1,1,12,user1
0,1,14.325,13.53141026,105,36,573,0,156,0,0.9375,0,0.272251309,1,1,1,0,0,0,1,0,1,2,0,0,2,0,0,0,0.852941176,1,1,0,0,0,0,3,3,0,0,20,0.625,0,0,0,1,12,user1
0,1,10.08333333,9.704545455,19,13,121,0,17,0,0.444444444,0,0.140495868,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.852941176,1,1,0,0,0,0,3,2,0,0,3,0.333333333,0,0,0,0,12,user1
0,1,13.67164179,14.4332881,140,49,916,0,412,0,1,0,0.449781659,6,0.9,0.5,0.5,0,0,1,0,1,9,5,0,2,2,0,0,0.864864865,1,1,0,0,0,0,3,5,0,0,26,0.464285714,0,0,1,1,12,user1
0,1,12.52830189,13.36211901,117,27,664,0,122,0,0.65,0,0.18373494,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.868421053,1,1,9,0,3.111111111,0.197530864,1,2,0.333333333,0.444444444,15,0.375,0,0,0,0,12,user1
0,1,14.2967033,15.24688645,194,61,1301,0,429,0,0.960526316,0,0.329746349,4,1,1,0,0,0,1,0,1,10,5,0,1,4,0,0,0.871794872,1,1,3,0.333333333,25.66666667,12.88888889,2,4,1.333333333,1.111111111,28,0.368421053,0,0,1,1,12,user1
0,1,11.76470588,11.40441176,32,21,200,0,28,0,0.75,0,0.14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.871794872,1,1,0,0,0,0,3,2,0,0,6,0.5,0,0,0,0,12,user1
0,1,10.25806452,10.69784946,57,29,318,0,119,0,0.916666667,0,0.374213836,0,0,0,0,0,0,1,0,1,3,0,0,2,1,0,0,0.871794872,1,1,0,0,0,0,3,4,0,0,11,0.458333333,0,0,0,1,13,user1
0,1,12.18918919,11.88138138,83,41,451,0,163,0,0.931034483,0,0.361419069,0,0,0,0,0,0,1,0,1,3,1,0,1,1,0,0,0.871794872,1,1,0,0,0,0,3,4,0,0,17,0.586206897,0,0,1,1,13,user1
